,beReplied,commentId,content,isRemoveHotComment,liked,likedCount,pendantData,time,user
0,[],1167889292,这是为我的justin和丞丞买的,False,False,3,,1530580059453,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/kY9LuPzf8y990vTZ3ciCYw==/109951163387698050.jpg', 'experts': None, 'nickname': '清宛swerty', 'userId': 1508093853, 'userType': 0, 'vipType': 0, 'expertTags': None}"
1,[],1167865472,初心不改，坚定不移，正家成军，给廷天下 朱正廷 来日可期🌺@THEO-朱正廷,False,False,2,,1530578667618,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/ddQGkUkYC55uyptB0Rov5Q==/19231557881968258.jpg', 'experts': None, 'nickname': '蓝色薄荷冷', 'userId': 468519747, 'userType': 0, 'vipType': 0, 'expertTags': None}"
2,[],1167877713,人间仙子朱正廷[爱心],False,False,4,,1530575907574,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/ePybfCXpMCBkpNQqxQ9BsQ==/109951163173068972.jpg', 'experts': None, 'nickname': '一只咸鱼叫茯筱', 'userId': 471847445, 'userType': 0, 'vipType': 0, 'expertTags': None}"
3,[],1167869667,来看我[猪][猪][吐舌][吐舌],False,False,1,,1530574677346,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/cIP1gQhUEQhVwplB-cprOA==/109951163294436508.jpg', 'experts': None, 'nickname': '我不无辜但也没有罪', 'userId': 558551258, 'userType': 0, 'vipType': 10, 'expertTags': None}"
4,[],1167867625,朱正廷，实力leader[爱心]我们的仙子[爱心],False,False,4,,1530574338190,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/uS4hKdAd9zUuHdmaNBBQRA==/109951163369648385.jpg', 'experts': None, 'nickname': '瑹歌丶', 'userId': 500976431, 'userType': 0, 'vipType': 0, 'expertTags': None}"
5,[],1167831298,丞丞，好棒,False,False,2,,1530571752822,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/oTCEalFNRAjXtyzzRZ8Zmg==/109951163215452137.jpg', 'experts': None, 'nickname': '王子奇我老公', 'userId': 1414464021, 'userType': 0, 'vipType': 0, 'expertTags': None}"
6,[],1167833242,人见人爱范丞丞，花见花开福西西，,False,False,3,,1530571732245,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/oTCEalFNRAjXtyzzRZ8Zmg==/109951163215452137.jpg', 'experts': None, 'nickname': '王子奇我老公', 'userId': 1414464021, 'userType': 0, 'vipType': 0, 'expertTags': None}"
7,[],1167847688,人见人爱范丞丞，花见花开福西西！🍊！无论是rap还是vocal，你的每一次演唱都带给人无限惊喜！舞台上的你是耀眼的存在，首专里的表现更是首屈一指！期待歌手范丞丞更多精彩瞬间！,False,False,4,,1530564747269,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/-irqVsiS1UKjUJ_iLQJ9VQ==/109951163369570732.jpg', 'experts': None, 'nickname': '天上云地下风', 'userId': 1495274859, 'userType': 0, 'vipType': 0, 'expertTags': None}"
8,[],1167833859,范丞丞未来可期,False,False,4,,1530564664917,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/-irqVsiS1UKjUJ_iLQJ9VQ==/109951163369570732.jpg', 'experts': None, 'nickname': '天上云地下风', 'userId': 1495274859, 'userType': 0, 'vipType': 0, 'expertTags': None}"
9,[],1167849566,范丞丞是属于Vocal、Rap俱佳的那种。Vocal音色独特，现场吃了CD一直很稳，情感也很饱满。Rap节奏把握得很好，张驰有度，很有感染力。强推can't stop和映客现场luv again，范丞丞入股不亏。范丞丞了解一下。祝《THE FIRST》大卖✨,False,False,4,,1530564429930,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/-irqVsiS1UKjUJ_iLQJ9VQ==/109951163369570732.jpg', 'experts': None, 'nickname': '天上云地下风', 'userId': 1495274859, 'userType': 0, 'vipType': 0, 'expertTags': None}"
10,"[{'user': {'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/mn37PBnphX2fQN63jIXwIA==/109951163368797960.jpg', 'experts': None, 'nickname': 'winyingy', 'userId': 562271297, 'userType': 0, 'vipType': 0, 'expertTags': None}, 'content': '这歌确实洗脑的，有些觉得不好听！是不适应这种曲风！', 'status': 0}]",1167824823,其实这种曲风怎么说呢，在国内的接受度不高。在国外接受度还可以，比较偏向国际化一点，也能看出来华这次砸钱了,False,False,1,,1530561620857,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/_rWIsEKa1aGYJOnyxG38JQ==/109951163383669595.jpg', 'experts': None, 'nickname': '焦糖柠檬jennie', 'userId': 505740083, 'userType': 0, 'vipType': 0, 'expertTags': None}"
11,[],1167796482,初见是高贵清冷的贵公子，而后成为可爱呆萌的福西西，每一种样子都是你，真实又可爱。是那个要努力的少年，也是那个表情包少年，记得那个冬日，你就这样在阳光下走来，清清冷冷的一个单纯少年，你的样子，就牢牢地住进了我的心里。,False,False,5,,1530557870978,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/GXpzEraRw0dlcbMcCcckrA==/109951163387984201.jpg', 'experts': None, 'nickname': '巨星返程', 'userId': 283146099, 'userType': 0, 'vipType': 0, 'expertTags': None}"
12,[],1167830540,范丞丞说“因为喜欢”“想因为是范丞丞被大家认识”“还是要继续努力”，他是愿意为梦想去奔波去努力的男子汉，是想要自己的努力被得到认可的小男孩，是不骄不躁的大男孩，也是在我们心中很重要的范丞丞。因为是@范丞丞Adam0616 ，所以闪闪发光，所以惊为天人。,False,False,5,,1530557868305,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/GXpzEraRw0dlcbMcCcckrA==/109951163387984201.jpg', 'experts': None, 'nickname': '巨星返程', 'userId': 283146099, 'userType': 0, 'vipType': 0, 'expertTags': None}"
13,[],1167814076,范丞丞，我只知道，幸福永远维系在你身上。@范丞丞Adam0616不单单局限于给出的模式，rap里还隐隐透着自己的音乐态度和想法，艺人范丞丞对于音乐的喜爱简直无法用只言片语去描绘。因为喜欢愿意一点一点唱好，所以首专无论是演唱还是表现力都足以展现出你的绝对实力。歌手范丞丞，未来可期！,False,False,6,,1530557862120,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/GXpzEraRw0dlcbMcCcckrA==/109951163387984201.jpg', 'experts': None, 'nickname': '巨星返程', 'userId': 283146099, 'userType': 0, 'vipType': 0, 'expertTags': None}"
14,[],1167774406,范丞丞我爱你,False,False,5,,1530553715559,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/A4A7nTDOrRdyt9DMT473eQ==/19199672044594411.jpg', 'experts': None, 'nickname': '怀椿少女a', 'userId': 368489514, 'userType': 0, 'vipType': 10, 'expertTags': None}"
15,[],1167796878,NEXT未来可期。第一次遇到这么帮的团。朱正廷范丞丞Justin毕雯珺黄新淳丁泽仁李权哲，大发。加油吧,False,False,3,,1530553605881,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/_7anGPkGz8FaLfXrfDIL3A==/109951163387940805.jpg', 'experts': None, 'nickname': '橙橙橙橙橙橙色的汁儿', 'userId': 1501226081, 'userType': 0, 'vipType': 0, 'expertTags': None}"
16,[],1167771372,就是想问一下除了粉丝，有人听这首歌吗，没有恶意，不妥可删。很希望有一首能出圈的歌[爱心]。,False,False,3,,1530553133301,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/l5DtoQxBGW93V5ggTubRCA==/109951163291297519.jpg', 'experts': None, 'nickname': '谁吃了我的西瓜尖', 'userId': 320195879, 'userType': 0, 'vipType': 0, 'expertTags': None}"
17,[],1167739852,李权哲毕雯珺我爱你们！！！！,False,False,1,,1530548988255,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/bjnfdE-7UBddNepxX4LSuw==/109951163319330622.jpg', 'experts': None, 'nickname': '焦焦焦焦焦焦焦焦迈奇', 'userId': 575678587, 'userType': 0, 'vipType': 0, 'expertTags': None}"
18,[],1167713258,丁泽仁未来可期，看了你的舞蹈，加油,False,False,1,,1530548461475,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/fu0fV_v5ft33mc-EtYLV-g==/19175482788954565.jpg', 'experts': None, 'nickname': '爱音乐小呆呆', 'userId': 1338029757, 'userType': 0, 'vipType': 0, 'expertTags': None}"
19,[],1167661873,朱正廷搬家成功！！！！,False,False,1,,1530545619263,"{'locationInfo': None, 'authStatus': 0, 'remarkName': None, 'avatarUrl': 'http://p1.music.126.net/8rnoDXaxq-kbjT6aBpyVrw==/18755469348330289.jpg', 'experts': None, 'nickname': '是unicorn啊', 'userId': 337035515, 'userType': 0, 'vipType': 0, 'expertTags': None}"
